Group_ID,Site,Text,URL
5,bjs,"Vacuums, Storage & Laundry",http://www.bjs.com/home/vacuums-storage--laundry.category.730.385.2001372.1
5,bestbuy,Personal Care & Beauty,http://www.bestbuy.com/site/Appliances/Personal-Care/abcat0915000.c?id=abcat0915000
5,bjs,Home Health Care,http://www.bjs.com/health--beauty/home-health-care.category.903.850.2001227.1
5,bjs,Personal Care,http://www.bjs.com/health--beauty/personal-care.category.884.850.2000054.1
5,bjs,Hair Care,http://www.bjs.com/health--beauty/hair-care.category.851.850.2001157.1
5,bjs,Skin Care,http://www.bjs.com/health--beauty/skin-care.category.876.850.2001127.1
5,overstock,Bath & Skin Care,http://www.overstock.com/Baby/Bath-Skin-Care/268/dept.html
5,walmart,Car Care & Maintenance,http://www.walmart.com/browse/auto-tires/car-care-maintenance/91083_1045959_1074764/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV1_AutoTires_CarCareMaintenance
5,walmart,Baby Bath & Skin Care,http://www.walmart.com/browse/baby/baby-bath-skin-care/5427_1097005/?_refineresult=true&povid=cat121828-env999999-moduleA082112-lLinkGNAV1_Baby_BabyBathSkinCare
5,walmart,Hair Care,http://www.walmart.com/cp/1007219?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_HairCare
5,walmart,Skin Care,http://www.walmart.com/cp/1007039?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_SkinCare
5,walmart,Home Health Care,http://www.walmart.com/cp/home-medical-supplies-equipment/1005860?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_HomeMedical
5,walmart,Oral Care,http://www.walmart.com/cp/Oral-Care/1007221?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_OralCare
5,walmart,Personal Care,http://www.walmart.com/cp/Personal-Care/1005862?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_PersonalCare
5,walmart,Gardening & Lawn Care,http://www.walmart.com/cp/4091?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_GardenCenter
6,bestbuy,Vacuum Cleaners & Floor Care,http://www.bestbuy.com/site/Home-Appliances/Vacuums-Floor-Care/abcat0911000.c?id=abcat0911000
6,walmart,Flooring,http://www.walmart.com/cp/Hardware-Nuts-Bolts-Washers/1067616?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_Flooring
6,wayfair,Flooring,http://www.wayfair.com/Flooring-C215832.html
6,bjs,"Vacuums, Storage & Laundry",http://www.bjs.com/home/vacuums-storage--laundry.category.730.385.2001372.1
6,bestbuy,Personal Care & Beauty,http://www.bestbuy.com/site/Appliances/Personal-Care/abcat0915000.c?id=abcat0915000
6,bjs,Home Health Care,http://www.bjs.com/health--beauty/home-health-care.category.903.850.2001227.1
6,bjs,Personal Care,http://www.bjs.com/health--beauty/personal-care.category.884.850.2000054.1
6,bjs,Hair Care,http://www.bjs.com/health--beauty/hair-care.category.851.850.2001157.1
6,bjs,Skin Care,http://www.bjs.com/health--beauty/skin-care.category.876.850.2001127.1
